wvl_1,T = 22°C,wvl_2,T = -8°C,wvl_3,T = -25°C,wvl_4,T = -7°C,wvl_5,T = 25°C (H),wvl_6,T = 20°C,wvl_7,T = 25°C (S),Index
700.3,3.72e-8,,,,,1020,0.00000225,,,686,2.57E-08,829.8508,2.04075E-07,36
701.3,3.81e-8,,,,,1030,0.00000233,,,687,2.63E-08,835.60304,2.2428E-07,37
702.2,3.90e-8,,,,,1040,0.00000233,,,688,2.66E-08,839.45999,2.45918E-07,38
703.2,4.00e-8,,,,,1050,0.00000217,,,689,2.71E-08,845.27881,2.69023E-07,39
704.2,4.12e-8,,,,,1060,0.00000196,,,690,2.76E-08,849.18046,2.92948E-07,40
705.2,4.22e-8,,,,,1070,0.00000181,,,691,2.81E-08,855.06671,3.15348E-07,41
706.2,4.34e-8,,,,,1080,0.00000174,,,692,2.85E-08,859.01354,3.34804E-07,42
707.2,4.46e-8,,,,,1090,0.00000173,,,693,2.90E-08,864.96795,3.54642E-07,43
708.2,4.59e-8,,,,,1100,0.0000017,,,694,2.96E-08,870.96361,3.74792E-07,44
709.2,4.74e-8,,,,,1110,0.00000176,,,695,3.03E-08,874.9838,3.90652E-07,45
710.2,4.89e-8,,,,,1120,0.00000182,,,696,3.09E-08,879.02251,4.05313E-07,46
711.2,5.08e-8,,,,,1130,0.00000204,,,697,3.17E-08,885.11562,4.23438E-07,47
712.3,5.27e-8,,,,,1140,0.00000225,,,698,3.24E-08,889.2011,4.40342E-07,48
713.3,5.50e-8,,,,,1150,0.00000229,,,699,3.32E-08,895.3648,4.62158E-07,49
714.3,5.72e-8,,,,,1160,0.00000304,,,700,3.40E-08,899.4976,4.86172E-07,50
715.3,5.97e-8,,,,,1170,0.00000384,,,701,3.50E-08,905.73262,5.1498E-07,51
716.3,6.24e-8,,,,,1180,0.00000477,,,702,3.59E-08,909.91331,5.69889E-07,52
717.4,6.51e-8,,,,,1190,0.00000576,,,703,3.68E-08,914.11321,6.69561E-07,53
718.4,6.80e-8,,,,,1200,0.00000671,,,704,3.78E-08,920.44959,8.30405E-07,54
719.4,7.11e-8,,,,,1210,0.00000866,,,705,3.91E-08,924.69813,1.05972E-06,55
720.5,7.43e-8,,,,,1220,0.0000102,,,706,4.02E-08,928.9664,1.36833E-06,56
721.5,7.75e-8,,,,,1230,0.0000113,,,707,4.15E-08,935.40566,1.77088E-06,57
722.5,8.09e-8,,,,,1240,0.0000122,,,708,4.29E-08,939.72333,2.16915E-06,58
723.6,8.45e-8,,,,,1250,0.0000129,,,709,4.43E-08,944.0609,2.55735E-06,59
724.6,8.80e-8,,,,,1260,0.0000132,,,710,4.60E-08,950.60477,2.93218E-06,60
725.7,9.20e-8,,,,,1270,0.0000135,,,711,4.79E-08,954.99263,3.19E-06,61
726.7,9.63e-8,,,,,1280,0.0000133,,,712,4.98E-08,959.40066,3.35807E-06,62
727.8,1.02e-7,,,,,1290,0.0000132,,,713,5.17E-08,966.05085,3.4641E-06,63
728.9,1.07e-7,,,,,1300,0.0000132,,,714,5.39E-08,970.50999,3.50179E-06,64
729.9,1.14e-7,,,,,1310,0.0000131,,,715,5.61E-08,974.98966,3.48009E-06,65
731.0,1.21e-7,,,,,1320,0.0000132,,,716,5.87E-08,979.48997,3.41814E-06,66
732.1,1.28e-7,,,,,1330,0.0000132,,,717,6.16E-08,984.0111,3.33649E-06,67
733.1,1.35e-7,,,,,1340,0.0000134,,,718,6.46E-08,990.83193,3.25305E-06,68
734.2,1.43e-7,,,,,1350,0.0000139,,,719,6.69E-08,995.40541,3.13105E-06,69
735.3,1.48e-7,,,,,1360,0.0000142,,,720,6.99E-08,1000,2.99979E-06,70
736.4,1.53e-7,,,,,1370,0.0000148,,,721,7.29E-08,1009.2529,2.68776E-06,71
737.5,1.57e-7,,,,,1380,0.0000158,,,722,7.64E-08,1020.9395,2.35229E-06,72
738.6,1.61e-7,,,,,1390,0.0000174,,,723,7.94E-08,1030.3861,2.00074E-06,73
739.6,1.63e-7,,,,,1400,0.0000198,,,724,8.35E-08,1039.9202,1.69001E-06,74
740.7,1.65e-7,,,,,1410,0.000025,,,725,8.71E-08,1049.5424,1.41935E-06,75
741.8,1.66e-7,,,,,1420,0.000054,,,726,9.13E-08,1059.2537,1.29894E-06,76
742.9,1.67e-7,,,,,1430,0.000104,,,727,9.55E-08,1069.0549,1.2589E-06,77
744.0,1.68e-7,,,,,1440,0.000203,,,728,1.01E-07,1078.9467,1.32859E-06,78
745.2,1.68e-7,,,,,1449,0.0002708,,,729,1.06E-07,1088.9301,1.49862E-06,79
746.3,1.69e-7,,,,,1460,0.0003511,,,730,1.12E-07,1099.0058,1.7084E-06,80
747.4,1.69e-7,,,,,1471,0.0004299,,,731,1.18E-07,1109.1748,2.0384E-06,81
748.5,1.70e-7,,,,,1481,0.0005181,,,732,1.24E-07,1119.4379,2.62839E-06,82
749.6,1.70e-7,,,,,1493,0.0005855,,,733,1.31E-07,1129.7959,3.86892E-06,83
750.8,1.71e-7,,,,,1504,0.0005899,,,734,1.37E-07,1140.2498,5.951E-06,84
751.9,1.71e-7,,,,,1515,0.0005635,,,735,1.42E-07,1150.8004,9.30647E-06,85
753.0,1.72e-7,,,,,1527,0.000548,,,736,1.46E-07,1158.7774,1.06888E-05,86
754.1,1.72e-7,,,,,1538,0.0005266,,,737,1.50E-07,1169.4994,1.11952E-05,87
755.3,1.73e-7,,,,,1563,0.0004394,,,738,1.53E-07,1180.3206,1.16033E-05,88
756.4,1.73e-7,,,,,1587,0.0003701,,,739,1.56E-07,1191.242,1.18122E-05,89
757.6,1.73e-7,,,,,1613,0.0003372,,,740,1.58E-07,1199.4993,1.1995E-05,90
758.7,1.73e-7,,,,,1650,0.000241,,,741,1.60E-07,1210.5981,1.19058E-05,91
759.9,1.73e-7,,,,,1680,0.000189,,,742,1.61E-07,1218.9896,1.17902E-05,92
761.0,1.74e-7,,,,,1700,0.000166,,,743,1.61E-07,1230.2688,1.16025E-05,93
762.2,1.74e-7,,,,,1730,0.000145,,,744,1.62E-07,1238.7966,1.13889E-05,94
763.4,1.74e-7,,,,,1760,0.000128,,,745,1.63E-07,1250.259,1.10022E-05,95
764.5,1.74e-7,,,,,1800,0.000103,,,746,1.63E-07,1258.9254,1.07907E-05,96
765.7,1.74e-7,,,,,1830,0.000086,,,747,1.64E-07,1270.5741,1.09049E-05,97
766.9,1.73e-7,,,,,1840,0.0000822,,,748,1.64E-07,1279.3813,1.13944E-05,98
768.0,1.73e-7,,,,,1850,0.0000803,,,749,1.65E-07,1291.2193,1.22115E-05,99
769.2,1.73e-7,,,,,1855,0.000085,,,750,1.65E-07,1300.1696,1.4002E-05,100
770.4,1.73e-7,,,,,1860,0.000099,,,751,1.65E-07,1309.1819,1.63904E-05,101
771.6,1.72e-7,,,,,1870,0.00015,,,752,1.66E-07,1321.2956,1.91201E-05,102
772.8,1.71e-7,,,,,1890,0.000295,,,753,1.66E-07,1330.4544,2.25056E-05,103
774.0,1.71e-7,,,,,1905,0.0004687,,,754,1.66E-07,1339.6767,2.84898E-05,104
